,decay,time,log_decay,log_time
641,760,50559,6.633318433,10.83089625
642,4300,50576,8.366370302,10.83123243
643,1920,50611,7.560080465,10.83192422
644,1740,50646,7.461640392,10.83261553
645,60,51051,4.094344562,10.84058041
646,620,51215,6.429719478,10.84378774
647,900,51278,6.802394763,10.84501709
648,120,51288,4.787491743,10.84521209
649,1980,51353,7.590852124,10.84647864
650,3060,51357,8.026170195,10.84655653
651,4780,51362,8.472195825,10.84665388
652,3700,51498,8.216088099,10.84929825
653,3900,51594,8.268731832,10.85116067
654,1260,51768,7.138867,10.85452748
655,3620,51883,8.194229305,10.85674646
656,400,51898,5.991464547,10.85703553
657,4040,52105,8.303999971,10.86101619
658,1880,52162,7.539027056,10.86210954
659,1160,52175,7.056175284,10.86235873
660,240,52322,5.480638923,10.86517221
661,6680,52450,8.806873267,10.86761561
662,1100,52456,7.003065459,10.86773
663,2220,52494,7.705262475,10.86845416
664,9780,52495,9.188094763,10.86847321
665,12560,52550,9.43827244,10.86952038
666,15900,52594,9.674074388,10.87035732
667,1200,52639,7.090076836,10.87121257
668,480,52696,6.173786104,10.87229483
669,1320,52832,7.185387016,10.87487235
670,340,52843,5.828945618,10.87508053
671,19260,52977,9.865785685,10.87761314
672,4500,53023,8.411832676,10.87848106
673,3100,53085,8.03915739,10.87964968
674,2340,53154,7.757906208,10.88094864
675,1480,53160,7.299797367,10.88106151
676,740,53189,6.606650186,10.88160689
677,260,53224,5.560681631,10.8822647
678,1940,53226,7.570443252,10.88230228
679,1240,53235,7.122866659,10.88247135
680,900,53302,6.802394763,10.88372913
681,2300,53341,7.740664402,10.88446055
682,160,53345,5.075173815,10.88453553
683,7360,53351,8.903815212,10.884648
684,3400,53522,8.131530711,10.88784806
685,4200,53548,8.342839804,10.88833373
686,2860,53618,7.958576904,10.88964011
687,960,53655,6.866933284,10.89032994
688,2060,53671,7.630461262,10.8906281
689,1060,53691,6.966024187,10.89100067
690,4480,53845,8.407378325,10.89386483
691,2880,53864,7.965545573,10.89421763
692,740,53982,6.606650186,10.89640594
693,960,54048,6.866933284,10.89762782
694,1080,54155,6.98471632,10.89960558
695,2080,54160,7.640123173,10.89969791
696,460,54165,6.131226489,10.89979022
697,3440,54168,8.14322675,10.89984561
698,640,54453,6.461468176,10.90509322
699,380,54582,5.940171253,10.90745944
700,3900,54601,8.268731832,10.90780748
701,2500,54633,7.824046011,10.90839337
702,580,54652,6.363028104,10.90874109
703,5560,54655,8.623353387,10.90879598
704,80,54710,4.382026635,10.90980179
705,3720,54783,8.221478947,10.91113521
706,7120,54801,8.870663004,10.91146372
707,60,54926,4.094344562,10.9137421
708,1200,55013,7.090076836,10.9153248
709,2600,55020,7.863266724,10.91545203
